B	D	Depth	Discharge	H	Latitude	Longitude	Q	Rp	SedQ	SedQ_err	Slope	Type	Width	WidthControl
4.25404	0.113	0.6	12.5	0.344922	39.5	-94.5833	929.778	152825	nan	nan	0.028	1	7.4	2
4.22919	0.114	0.7	16.9	0.356679	39.7897	-78.6467	1229.67	154858	nan	nan	0.006	1	8.3	2
5.99368	0.119	0.9	21.7	0.414947	39.7261	-79.0486	1418.27	165157	nan	nan	0.004	1	13	2
5.59784	0.152	0.9	32.1	0.354792	39.6561	-79.3939	1137.79	238420	nan	nan	0.021	1	14.2	2
5.79231	0.222	1	36.1	0.376124	39.57	-79.1019	496.353	420829	nan	nan	0.003	1	15.4	2
7.37177	0.0202	1.8	75.3	0.504532	39.6122	-77.2372	414555	11550.6	nan	nan	0.0013	1	26.3	2
6.46021	0.02642	1.3	55.5	0.41168	39.5197	-76.3728	156180	17277.3	nan	nan	0.0052	1	20.4	2
6.48682	0.032	1	29	0.410558	39.4517	-76.9553	50546.2	23030.4	nan	nan	0.0052	1	15.8	2
6.13862	0.03663	0.8	17.8	0.39926	39.4894	-76.9028	22130.6	28205.4	nan	nan	0.005	1	12.3	2
6.53597	0.10694	1	37.8	0.369264	39.6278	-75.9444	3227.06	140698	nan	nan	0.012	1	17.7	2
8.26134	0.13281	0.6	10.3	0.372692	39.4544	-76.4789	511.594	194725	nan	nan	0.0165	1	13.3	2
7.27826	0.01797	1.34112	59.4371	0.413217	39.6571	-75.8224	438382	9691.67	nan	nan	0.0014	1	23.622	2
6.99097	0.01873	1.49352	47.4024	0.503761	39.6041	-76.6205	315226	10313	nan	nan	0.0019	1	20.7264	2
9.35013	0.105156	0.54864	11.3267	0.32808	38.9639	-80.1528	1008.52	137192	nan	nan	0.006	1	15.636	2
12.4655	0.0339	1	38.2	0.367713	45.9608	-88.3158	57640.7	25111.7	nan	nan	0.0009	1	33.9	2
14.0481	0.0371	1.7	45.3	0.583907	46.5569	-88.0025	54554.3	28750	nan	nan	0.0018	1	40.9	2
9.04715	0.022	1.67	142	0.363191	43.0106	-108.376	631535	13128.4	2.6932	1.29173	0.001	1	41.6	1
8.52671	0.01905	0.81534	9.17466	0.53044	41.1411	-74.1161	58481.4	10578.4	nan	nan	0.002	1	13.1064	2
8.81343	0.024892	0.64008	6.42792	0.480109	42.5519	-73.5914	20993.6	15800.3	nan	nan	0.002	1	11.75	2
11.6378	0.034036	0.54864	5.5501	0.436416	41.4759	-73.6895	8291.25	25263	nan	nan	0.009	1	14.6304	2
14.4266	0.048768	1.41732	188.024	0.275497	42.1661	-75.14	114299	43329	nan	nan	0.001	1	74.2188	3
8.38472	0.058928	1.84912	85.5169	0.492582	41.6588	-73.5287	32390.2	57551.8	nan	nan	0.002	1	31.4757	2
10.7581	0.061468	1.524	114.683	0.36101	42.1447	-74.6536	39087.9	61312.7	nan	nan	0.001	1	45.4152	3
7.96053	0.068072	0.79248	34.8297	0.302372	41.845	-74.5394	9198.02	71454.4	nan	nan	0.012	1	20.8636	2
7.28277	0.076962	1.7272	142.434	0.375173	43.8133	-76.0747	27675	85899.6	nan	nan	0.002	1	33.528	2
10.1958	0.084074	1.00584	60.0317	0.308681	41.1403	-74.1686	9351.73	98077.4	nan	nan	0.004	1	33.2232	2
6.6027	0.087122	0.762	33.1307	0.296617	42.1331	-74.6956	4721.46	103459	nan	nan	0.01	1	16.9621	2
8.57815	0.103124	0.70104	25.8816	0.301217	42.12	-74.8186	2419.68	133234	nan	nan	0.01	1	19.9644	2
9.81915	0.122174	1.70688	175.564	0.341006	44.3583	-73.3944	10743.7	171809	nan	nan	0.003	1	49.149	3
11.2494	0.15748	1.87452	200.2	0.355335	42.0142	-74.2706	6494.81	251429	nan	nan	0.005	1	59.3446	2
7.28637	0.163068	1.28016	118.364	0.29944	41.89	-74.59	3519.37	264929	nan	nan	0.005	1	31.1506	2
7.6927	0.213106	0.70104	22.7384	0.317229	42.3769	-74.4131	346.287	395795	nan	nan	0.11	1	17	2
10.6231	0.0183	0.8	9.9	0.504859	42.8769	-93.7833	69770.7	9959.86	nan	nan	0.001	1	16.8333	3
11.2938	0.019	0.433333	16.4	0.22347	42.1536	-79.4072	105227	10536.8	nan	nan	0.002	1	21.9	1
10.3832	0.0207	1.46667	181.2	0.289336	nan	nan	938421	11982.1	nan	nan	0.001	1	52.6333	9
7.75549	0.0352	0.966667	22.5	0.439276	42.3931	-76.545	30902.3	26569.9	nan	nan	0.004	1	17.0667	2
7.24487	0.0372	0.3	4.4	0.261863	42.4711	-77.6722	5263.33	28866.3	nan	nan	0.014	1	8.3	2
7.40472	0.0385	0.766667	32.6	0.300368	42.3283	-76.8439	35787.5	30392.6	nan	nan	0.007	1	18.9	2
12.7647	0.0554	1	79.9	0.273725	42.1708	-79.0692	35313.3	52461.6	nan	nan	0.002	1	46.6333	2
19.8673	0.0558	0.9	104.8	0.22102	42.1383	-76.2894	45492.7	53030.8	nan	nan	0.001	1	80.9	2
4.96361	0.0559	0.7	8.5	0.469531	42.3669	-77.5589	3673.29	53173.4	nan	nan	0.012	1	7.4	2
6.95793	0.0648	0.5	7.5	0.352598	nan	nan	2240.21	66365	nan	nan	0.016	1	9.86667	9
11.1146	0.0896	1.2	89.2	0.314318	42.89	-78.6453	11851.1	107904	nan	nan	0.002	1	42.4333	2
11.2375	0.0963	0.666667	37.7	0.246437	42.3883	-77.3578	4182.55	120231	nan	nan	0.003	1	30.4	1
13.4326	0.0184	2.06667	117.2	0.485326	43.0931	-78.6364	814795	10041.6	nan	nan	0.001	1	57.2	2
8.05266	0.027	1.06667	48.7	0.355919	42.9578	-77.0683	129803	17849.3	nan	nan	0.01	1	24.1333	2
12.7121	0.0405	0.425	15.5	0.224176	42.9339	-76.0619	14992	32791.3	nan	nan	0.005	1	24.1	1
6.59383	0.0545	0.766667	12.4	0.442152	43.2536	-77.7422	5709.47	51188.4	nan	nan	0.006	1	11.4333	2
14.798	0.0706	0.9	65.4	0.266898	43.01	-77.7917	15766.4	75471.6	nan	nan	0.003	1	49.9	2
7.50947	0.028	4.19	550	0.530155	nan	nan	1.33855e+06	18850.1	nan	nan	0.0007	1	59.35	9
10.5119	0.0325	1.01803	33.9802	0.392287	nan	nan	56974.8	23572.3	nan	nan	0.0087	1	27.2796	9
5.56057	0.033	0.65	2.7	0.689766	nan	nan	4357.57	24118.3	nan	nan	0.0023	1	5.24	9
7.78273	0.039	1.16	66	0.342747	nan	nan	70153.3	30986.6	nan	nan	0.0024	1	26.34	9
7.1781	0.04	1.67	38	0.615371	nan	nan	37914	32186	nan	nan	0.002	1	19.48	9
5.59855	0.041	1.34	29.5	0.546399	nan	nan	27671.2	33400.4	nan	nan	0.0045	1	13.73	9
9.10764	0.043	1.77	67	0.519849	nan	nan	55791.6	35873.9	nan	nan	0.0018	1	31.01	9
10.5178	0.05	1.0607	33.9802	0.40873	nan	nan	19407.4	44981.2	nan	nan	0.0068	1	27.2948	9
10.2558	0.05	0.97841	33.9802	0.37702	nan	nan	19407.4	44981.2	nan	nan	0.0068	1	26.6151	9
5.62283	0.051	2.47	66	0.729816	nan	nan	35874.3	46337.4	nan	nan	0.0014	1	19.03	9
10.5818	0.0548	1.5941	82.1189	0.431591	44.9869	-115.725	37295.6	51611.6	nan	nan	0.0019	1	39.0845	2
7.8049	0.055	1.63	81	0.443739	nan	nan	36453.9	51894.4	nan	nan	0.0014	1	28.67	9
9.13933	0.057	0.69	14.2	0.376936	nan	nan	5844.76	54750.6	nan	nan	0.0032	1	16.73	9
7.5173	0.063	3.06	140	0.669274	nan	nan	44868.6	63619.1	nan	nan	0.0017	1	34.37	9
10.944	0.063	0.78	25	0.339823	nan	nan	8012.24	63619.1	nan	nan	0.0052	1	25.12	9
9.30405	0.0645	1.42951	186.891	0.278539	nan	nan	56474.8	65904.6	nan	nan	0.0022	1	47.75	9
6.01913	0.07	0.69494	16.1406	0.360673	nan	nan	3975.03	74511.5	nan	nan	0.0074	1	11.5976	9
5.20917	0.071	1.79	66	0.528895	nan	nan	15687.9	76113.9	nan	nan	0.0048	1	17.63	9
8.21671	0.072	2.64	157	0.551541	nan	nan	36035.8	77727.6	nan	nan	0.0009	1	39.33	9
5.72818	0.074	1.36	58	0.423157	nan	nan	12431.2	80988.6	nan	nan	0.0057	1	18.41	9
5.19292	0.075	1.78	64	0.532454	nan	nan	13264.5	82635.8	nan	nan	0.0044	1	17.36	9
9.52408	0.075	2.77	260	0.47296	nan	nan	53887.2	82635.8	nan	nan	0.0007	1	55.78	9
8.59966	0.077	3.6	370	0.533772	nan	nan	71802.6	85963.2	nan	nan	0.0015	1	58	9
5.62283	0.082	1.36	66	0.401842	nan	nan	10944	94470.7	nan	nan	0.0105	1	19.03	9
5.13023	0.089	1.06	36.5	0.396938	nan	nan	4931.55	106822	nan	nan	0.0137	1	13.7	9
5.9541	0.096	0.56388	5.86159	0.438848	nan	nan	655.395	119669	nan	nan	0.0186	1	7.65048	9
5.80023	0.149	0.56	4.73	0.474873	nan	nan	176.222	231396	0.05943	0	0.03	1	6.84	1
7.89981	0.104	2.09	212	0.387209	nan	nan	19405.2	134936	nan	nan	0.0036	1	42.64	9
6.51732	0.1	0.49	6.43	0.36749	nan	nan	649.197	127226	0.0433998	0.0253076	0.0146	1	8.69	1
14.1182	0.1055	1.04851	116.099	0.247158	nan	nan	10253.3	137865	nan	nan	0.0026	1	59.8932	9
8.82472	0.106	0.73	10	0.458835	nan	nan	872.772	138847	nan	nan	0.0064	1	14.04	9
8.2316	0.107	1.0668	43.8911	0.371079	nan	nan	3741.82	140816	nan	nan	0.0053	1	23.6647	9
6.5655	0.1075	0.47244	6.22971	0.358834	44.2908	-114.472	524.943	141804	nan	nan	0.0104	1	8.64413	1
9.29542	0.108	0.7681	25.4852	0.332075	nan	nan	2122.73	142795	nan	nan	0.0043	1	21.5006	9
7.79546	0.1095	0.34747	4.24753	0.307607	nan	nan	341.796	145780	nan	nan	0.0213	1	8.80567	9
6.01971	0.113	0.73	10.7	0.446584	nan	nan	795.89	152825	nan	nan	0.013	1	9.84	9
7.16068	0.1345	0.307838	2.48019	0.337957	nan	nan	119.356	198454	nan	nan	0.0153	1	6.52251	9
5.39305	0.115	0.24994	3.39802	0.241924	44.2703	-114.517	241.906	156900	nan	nan	0.0195	1	5.57174	2
5.61647	0.1175	0.93574	24.9188	0.408205	nan	nan	1681.12	162044	nan	nan	0.0158	1	12.8748	9
10.5795	0.123	0.72847	28.3168	0.301945	44.2225	-114.931	1703.91	173554	nan	nan	0.0022	1	25.524	2
6.75155	0.135	1.03937	65.1287	0.308742	nan	nan	3105.3	199562	nan	nan	0.0231	1	22.7289	9
8.83447	0.19	0.975328	39.6378	0.353379	44.9617	-115.5	804.25	333201	0.0220645	0.0147352	0.004	1	24.3832	1
10.4222	0.155	1.22834	60.3149	0.376255	nan	nan	2035.92	245513	nan	nan	0.0025	1	34.0248	9
10.6986	0.155	1.13386	56.6337	0.356175	nan	nan	1911.66	245513	nan	nan	0.0059	1	34.0584	9
8.32456	0.1575	1.16738	41.6258	0.414764	nan	nan	1349.98	251476	nan	nan	0.0055	1	23.43	9
5.87708	0.1675	0.80162	24.9188	0.349697	nan	nan	692.876	275803	nan	nan	0.0113	1	13.4722	9
12.211	0.019	0.957072	23.9561	0.424143	42.8281	-84.7594	153708	10536.8	nan	nan	0.00073	1	27.5539	2
13.0156	0.021	0.682752	18.7174	0.333963	44.6147	-84.4556	93511.2	12243.5	nan	nan	0.00155	1	26.609	2
13.0367	0.03	1.34417	125.019	0.307608	42.6158	-85.2364	256058	20905.4	nan	nan	0.0017	1	56.9671	2
6.78747	0.095	0.576072	10.3356	0.357335	46.1181	-85.3653	1186.3	117805	nan	nan	0.0179	1	10.9423	2
12.4896	0.02786	1.4	70.5	0.40289	46.1022	-84.43	173741	18708.9	nan	nan	0.00105	1	43.4	2
6.13543	0.02823	0.7	9.1	0.456894	nan	nan	21698.5	19082.8	nan	nan	0.00641	1	9.4	9
5.94159	0.02872	0.7	11.8	0.411793	40.3842	-81.8178	26951.7	19581.8	nan	nan	0.00489	1	10.1	2
6.07444	0.03123	2.1	77.3	0.58248	39.5883	-82.5786	143191	22204.2	nan	nan	0.00111	1	21.9	2
9.07375	0.03793	3.7	410.6	0.526221	38.8036	-83.4211	467872	29720.1	nan	nan	0.00064	1	63.8	2
5.97043	0.03863	0.3	1.3	0.426459	39.4664	-84.7561	1415.13	30546.6	nan	nan	0.01472	1	4.2	2
7.3997	0.0392	1.1	25.8	0.473237	nan	nan	27075.1	31225.2	nan	nan	0.00391	1	17.2	9
10.1743	0.0443	1.3	45.6	0.445339	40.8036	-83.0058	35246.9	37513	nan	nan	0.00149	1	29.7	2
4.35134	0.04898	0.6	7.9	0.414414	39.5189	-84.0797	4750.57	43611.9	nan	nan	0.02659	1	6.3	2
6.11209	0.05183	0.5	5.4	0.402111	39.7822	-81.0558	2819.07	47473.2	nan	nan	0.0397	1	7.6	2
10.3942	0.05412	1.5	82.7	0.40497	40.5378	-80.7253	38750.4	50653.9	nan	nan	0.00333	1	38.5	2
7.31627	0.05983	1.1	35.4	0.41699	41.1631	-81.5839	12908.4	58878.3	nan	nan	0.00496	1	19.3	2
15.4754	0.07493	1.9	300.2	0.306283	41.7189	-81.2281	62364.4	82520.2	nan	nan	0.00058	1	96	2
5.75229	0.09486	0.6	20.1	0.285238	38.8194	-83.9578	2315.55	117544	nan	nan	0.05042	1	12.1	2
6.94562	0.01517	1.36855	17.8396	0.682403	41.3483	-82.5139	200950	7517.18	nan	nan	0.0019	1	13.9294	2
4.51858	0.08	0.6	3.1	0.602477	39.6872	-105.7	546.767	91035.6	nan	nan	0.0363	1	4.5	2
1.94279	0.0174	0.82	170	0.165946	nan	nan	1.35907e+06	9234.22	nan	nan	0.002801	1	9.6	9
5.64015	0.0183	1.22	19	0.593188	nan	nan	133903	9959.86	nan	nan	0.00321	1	11.6	9
7.66793	0.023	0.47	6.71	0.346531	nan	nan	26703.5	14033.6	nan	nan	0.00435	1	10.4	9
8.67593	0.023	2.04	100.2	0.510055	nan	nan	398762	14033.6	nan	nan	0.00136	1	34.7	9
5.95417	0.0232	0.68	3.9	0.622898	nan	nan	15188.3	14217	nan	nan	0.002754	1	6.5	9
6.40376	0.024	0.3	1.87	0.368738	nan	nan	6690.81	14958.7	nan	nan	0.00976	1	5.21	9
5.54759	0.0269	1.96	34	0.755089	nan	nan	91466.8	17750.3	nan	nan	0.002326	1	14.4	9
13.4505	0.031	7.6	4390	0.418949	nan	nan	8.28373e+06	21959.3	nan	nan	0.00049	1	244	9
7.41803	0.034	0.29	2.69	0.308199	nan	nan	4029.22	25222.9	nan	nan	0.01876	1	6.98	9
9.34398	0.0348	0.96	24	0.425129	nan	nan	33917.9	26118.3	nan	nan	0.005072	1	21.1	9
9.8883	0.0359	1.34	60.4	0.410227	nan	nan	78970.8	27366.4	nan	nan	0.002547	1	32.3	9
8.65797	0.04	1	70	0.288599	nan	nan	69841.5	32186	nan	nan	0.0032	1	30	9
7.71476	0.04065	1.3	61	0.396411	nan	nan	58458	32973.7	nan	nan	0.0041	1	25.3	9
6.40563	0.042	1.22	45	0.420154	nan	nan	39742.5	34629.8	nan	nan	0.011352	1	18.6	9
4.24748	0.042	1.68	934.6	0.171946	nan	nan	825407	34629.8	nan	nan	0.0027	1	41.5	9
7.07815	0.0432	1.12	28	0.466325	nan	nan	23047	36124.5	nan	nan	0.009178	1	17	9
7.26764	0.046	2.04	55.2	0.647423	nan	nan	38833.8	39692.9	nan	nan	0.0021	1	22.9	9
10.7411	0.0499	3.21	424	0.450705	nan	nan	243377	44846.4	nan	nan	0.002768	1	76.5	9
13.1296	0.05	1.98	354	0.298812	nan	nan	202183	44981.2	nan	nan	0.00223	1	87	9
8.33518	0.052	0.33	2.21	0.379394	nan	nan	1144.33	47706.9	nan	nan	0.01595	1	7.25	9
6.33694	0.0547	2.08	27	0.878722	nan	nan	12318.6	51470.4	nan	nan	0.009857	1	15	9
10.8636	0.058	1.63	167	0.332227	nan	nan	65813	56197.7	nan	nan	0.002	1	53.3	9
6.90775	0.061	0.73	12.2	0.423753	nan	nan	4238.39	60613.8	nan	nan	0.00626	1	11.9	9
15.7702	0.063	2.32	489.9	0.307453	nan	nan	157008	63619.1	nan	nan	0.0036	1	119	9
10.4852	0.0636	1.05	36.5	0.393193	nan	nan	11423.9	64530.1	nan	nan	0.009598	1	28	9
8.69066	0.07	1.65	114	0.391792	nan	nan	28075.4	74511.5	nan	nan	0.00343	1	36.6	9
8.66234	0.073	3.8	1841	0.296549	nan	nan	408237	79352.5	nan	nan	0.0016	1	111	9
5.75522	0.0838	1.9	100	0.475431	nan	nan	15705.6	97598.4	nan	nan	0.005744	1	23	9
7.29582	0.085	0.46	9.77	0.291833	nan	nan	1480.86	99702.2	nan	nan	0.02223	1	11.5	9
10.4524	0.018	1.78	226.2	0.321334	41.5461	-109.693	1.66141e+06	9715.95	nan	nan	0.0008	1	57.9	1
13.7645	0.02	0.92	109.3	0.222164	33.98	-111.303	616894	11379.5	nan	nan	0.0012	1	57	2
7.53835	0.035	0.55	22.2	0.251278	33.2472	-108.88	30927.8	26343.8	nan	nan	0.004	1	16.5	2
9.85527	0.042	0.7	27.5	0.293561	38.5211	-106.941	24287.1	34629.8	nan	nan	0.0036	1	23.5	1
6.96744	0.045	2.41	368.2	0.358028	41.7069	-76.485	273664	38405.7	nan	nan	0.0042	1	46.9	2
17.7922	0.06	2.49	10.9	1.51204	43.9144	-122.688	3946.52	59129.4	nan	nan	0.0042	1	29.3	3
2.94122	0.076	0.5	4.5	0.432533	36.4394	-105.504	902.286	84294	nan	nan	0.0154	1	3.4	2
5.03102	0.051	0.3	0.86	0.503102	nan	nan	467.454	46337.4	0.0126708	0.0110953	0.055	1	3	9
5.11111	0.038	0.17	0.3	0.434444	nan	nan	340.273	29802.4	0.0132665	0.00789849	0.054	1	2	9
5.93017	0.129	0.47	4.41	0.40988	nan	nan	235.575	186406	0.117559	0.0682388	0.025	1	6.8	9
6.43384	0.076	0.43	4.75	0.36402	nan	nan	952.413	84294	0.089855	0.0640489	0.0119	1	7.6	9
7.98163	0.082	0.36	4.59	0.308966	nan	nan	761.103	94470.7	0.0968735	0.0682021	0.019	1	9.3	9
6.61346	0.091	0.38	3.61	0.359017	nan	nan	461.391	110443	0.0487495	0.0310182	0.015	1	7	9
7.96335	0.079	0.34	3.37	0.330188	nan	nan	613.377	89334.1	0.0565447	0.0368906	0.02	1	8.2	9
5.68365	0.146	0.38	2.63	0.407507	nan	nan	103.095	224443	0.0207606	0.0228449	0.051	1	5.3	9
6.43295	0.046	0.4	1.84	0.494842	nan	nan	1294.46	39692.9	0.00233791	0.00153731	0.021	1	5.2	9
6.56761	0.068	0.27	1.92	0.32838	nan	nan	508.387	71341.1	0.0313271	0.0216035	0.025	1	5.4	9
7.54278	0.058	0.43	5.95	0.332656	nan	nan	2344.84	56197.7	0.17165	0.218318	0.02	1	9.75	9
5.86576	0.115	0.89	21.86	0.409132	nan	nan	1556.22	156900	0.313187	0.166817	0.0091	1	12.76	9
3.66306	0.023	0.16	0.05	0.83727	nan	nan	198.983	14033.6	0.00119723	0.000766487	0.0718	1	0.7	9
7.77842	0.051	0.444993	3.879	0.408507	nan	nan	2108.43	46337.4	0.0711839	0.0320713	0.0202	1	8.47316	9
9.49425	0.04	0.238453	1.3279	0.336102	nan	nan	1324.89	32186	0.0137314	0.00500228	0.0233	1	6.73586	9
7.28221	0.067	0.466329	5.46435	0.373259	nan	nan	1501.47	69773.2	0.298086	0.202877	0.0077	1	9.09798	9
8.14539	0.134	0.603484	12.1745	0.350606	nan	nan	591.364	197348	0.0386076	0.0407315	0.0268	1	14.0203	2
7.18426	0.068	1.018	11.7498	0.599886	nan	nan	3111.17	71341.1	0.016998	0.00207041	0.0097	1	12.1916	1
7.08662	0.057	0.679682	9.34319	0.438977	nan	nan	3845.68	54750.6	0.036186	0.024451	0.0059	1	10.9724	1
11.7112	0.09	2.76445	453.003	0.378008	nan	nan	59519.6	108628	1.64783	0.831218	0.0005	1	85.646	2
8.95961	0.075	0.679682	17.7238	0.339795	nan	nan	3673.41	82635.8	0.136161	0.116059	0.0108	1	17.9217	9
7.0839	0.095	0.6	7.25	0.428894	nan	nan	832.136	117805	0.0284232	0.0235177	0.0146	1	9.91	9
9.89539	0.038	1.64	70.78	0.471209	nan	nan	80281.8	29802.4	2.02037	1.84643	0.0025	1	34.44	2
5.23754	0.027	0.22	0.62	0.420533	nan	nan	1652.52	17849.3	0.00437317	0.00378768	0.024	1	2.74	9
7.6945	0.0834	0.51193	5.12	0.420568	nan	nan	813.805	96900.4	0.0651413	0.0637359	0.01	1	9.36601	9
6.83982	0.075	0.390131	2.55947	0.422946	nan	nan	530.472	82635.8	0.0426545	0.0308733	0.0414	1	6.30915	2
8.5339	0.05	0.789406	24.07	0.349176	nan	nan	13747.3	44981.2	0.330902	0.240065	0.004	1	19.2932	1
11.0922	0.0839	0.39	2.43526	0.431301	nan	nan	381.335	97773.1	0.0211854	0.0196285	0.0053	1	10.03	2
7.10989	0.0751	0.6096	8.21193	0.414573	nan	nan	1696.33	82801.2	0.0616904	0	0.0056	1	10.4546	2
8.42288	0.039	0.55	5.37	0.443309	nan	nan	5707.93	30986.6	0.0177138	0.00651979	0.0067	1	10.45	2
8.70458	0.016	0.64	8.92	0.421083	nan	nan	87948.9	8142.48	0.261126	0.151101	0.0012	1	13.23	1
8.21434	0.048	0.42	3.09	0.422279	nan	nan	1954.43	42309.5	0.0091096	0.011656	0.0051	1	8.17	2
10.9338	0.043	0.46	3.71	0.429875	nan	nan	3089.36	35873.9	0.000882077	0.000735617	0.001	1	11.7	1
9.41658	0.015	0.71	3.64	0.668577	nan	nan	42173.4	7391.17	0.287531	0.223838	0.006	1	10	9
6.52565	0.08	0.51	7.8	0.354051	nan	nan	1375.74	91035.6	0.102985	0.0683705	0.0206	1	9.4	9
7.03806	0.045	0.4	1.4	0.552004	nan	nan	1040.55	38405.7	0.0266291	0.0356976	0.004	1	5.1	9
8.79408	0.06	0.4	7.1	0.28833	nan	nan	2570.67	59129.4	0.0450086	0.0115855	0.0144	1	12.2	9
5.80315	0.058	0.41	2	0.490575	nan	nan	788.18	56197.7	0.0356331	0.0228348	0.0102	1	4.85	9
8.25962	0.022	1	19.6	0.48021	nan	nan	87169.6	13128.4	4.5322	3.63651	0.01	1	17.2	1
12.7281	0.054	5.12	2607	0.347654	nan	nan	1.22835e+06	50485.6	17.8335	17.7437	0.00094	1	187.45	9
10.5023	0.074	5.27	2210	0.382285	nan	nan	473673	80988.6	5.41803	3.70932	0.0003	1	144.78	9
3.77441	0.063	0.42	2.98	0.428446	nan	nan	955.059	63619.1	0.206204	0.149651	0.01	1	3.7	9
7.56259	0.0784	2.6	1.13	3.90909	nan	nan	209.63	88318.3	0.0159155	0.0159768	0.0349	1	5.03	9
7.43876	0.0761	0.78	16.99	0.396598	nan	nan	3395.45	84460.5	0.343555	0.15965	0.0117	1	14.63	9
10.4014	0.0421	0.74	31.15	0.295245	nan	nan	27347.5	34753.6	0.210733	0.0724312	0.0029	1	26.07	9
5.55163	0.0489	0.65	7.93	0.448268	nan	nan	4788.14	43505.1	0.0699172	0.0660522	0.0163	1	8.05	9
4.8967	0.00025	0.4	4	0.362719	39.9722	-75.8508	1.29234e+09	15.9033	nan	nan	0.009	2	5.4	3
12.189	0.0008	0.6	28.3	0.248754	40.3739	-75.5228	4.99145e+08	91.0356	nan	nan	0.004	2	29.4	1
4.32776	6.2e-05	0.2	0.4	0.455554	46.6664	-113.15	4.21936e+09	1.9641	nan	nan	0.031	2	1.9	3
6.86416	0.00014	0.6	1.8	0.748818	38.6817	-75.8981	2.47809e+09	6.66451	nan	nan	0.0014	2	5.5	1
6.10437	0.00019	0.9	2.2	1.03659	38.9647	-76.1086	1.41158e+09	10.5368	nan	nan	0.0002	2	5.3	2
8.39395	0.00025	1.5	19.1	0.727799	38.8142	-76.7486	6.1709e+09	15.9033	nan	nan	0.0002	2	17.3	2
6.41986	0.00026	0.9	7.7	0.628029	38.3331	-76.725	2.2554e+09	16.8669	nan	nan	0.001	2	9.2	1
7.10471	0.00027	0.4	1	0.63153	38.9056	-75.5125	2.66536e+08	17.8493	nan	nan	0.0007	2	4.5	2
10.4778	0.00032	1.2	9.6	0.766667	38.7283	-75.5617	1.67325e+09	23.0304	nan	nan	0.0004	2	16.4	3
12.4621	0.00033	0.3	1.1	0.45593	38.9167	-76.0617	1.77531e+08	24.1183	nan	nan	0.0013	2	8.2	2
14.2433	0.00041	1.2	19.5	0.577432	nan	nan	1.82911e+09	33.4004	nan	nan	0.0003	2	29.6	9
6.0068	0.00064	0.5	2.4	0.556185	38.7122	-75.7928	7.39481e+07	65.1398	nan	nan	0.0023	2	5.4	3
8.39306	0.00067	0.9	6.3	0.680519	38.2289	-75.4714	1.73109e+08	69.7732	nan	nan	0.0003	2	11.1	2
10.6677	0.001	0.7	2.8	0.732097	38.9758	-75.5675	2.82699e+07	127.226	nan	nan	0.0004	2	10.2	2
5.6092	0.00036	1.2	29.2	0.491317	39.1744	-77.0214	3.79133e+09	27.4809	nan	nan	0.0022	2	13.7	1
6.44532	0.00063	1.2	18.8	0.585938	nan	nan	6.02521e+08	63.6191	nan	nan	0.0008	2	13.2	9
7.94511	0.00015	1.04	6.14	0.794511	nan	nan	7.11387e+09	7.39117	nan	nan	0.00058	2	10.4	9
9.38927	0.00022	1.37	8.81	0.905866	29.9981	-82.2742	3.91818e+09	13.1284	nan	nan	0.00038	2	14.2	2
13.1283	0.0003	1.46	37.66	0.539926	30.7083	-86.9722	7.71334e+09	20.9054	nan	nan	0.0006	2	35.5	1
7.36278	0.00034	1.43	9.97	0.899895	nan	nan	1.49336e+09	25.2229	nan	nan	0.0004	2	11.7	9
6.05181	0.00036	1.68	11.27	1.00664	nan	nan	1.4633e+09	27.4809	nan	nan	0.0005	2	10.1	9
7.75971	0.00038	1.49	14.95	0.797377	nan	nan	1.69569e+09	29.8024	nan	nan	0.00018	2	14.5	9
13.9759	0.0004	0.27	0.48	0.571743	nan	nan	4.78913e+07	32.186	nan	nan	0.00047	2	6.6	9
8.29675	0.00041	1.62	12.43	0.933384	nan	nan	1.16594e+09	33.4004	nan	nan	0.001	2	14.4	9
7.88924	0.00043	0.94	7.19	0.674171	30.5572	-86.5197	5.98719e+08	35.8739	nan	nan	0.00128	2	11	2
11.3957	0.00045	2.01	75.04	0.564174	30.6972	-86.5708	5.57734e+09	38.4057	nan	nan	0.0012	2	40.6	1
7.77084	0.00048	2.44	16.76	1.24742	30.6689	-86.1867	1.06007e+09	42.3095	nan	nan	0.004	2	15.2	2
7.74478	0.00055	1.07	7.36	0.760268	nan	nan	3.31235e+08	51.8944	nan	nan	0.00017	2	10.9	9
6.69664	0.00057	1.92	37.1	0.714308	nan	nan	1.52705e+09	54.7506	nan	nan	0.00305	2	18	9
6.45691	0.00059	0.61	1.27	0.87527	nan	nan	4.79556e+07	57.6573	nan	nan	0.0008	2	4.5	9
13.3176	0.00061	0.37	0.65	0.694017	nan	nan	2.25816e+07	60.6138	nan	nan	0.0002	2	7.1	9
11.1205	0.00071	0.18	0.2	0.540996	nan	nan	4.7539e+06	76.1139	nan	nan	0.00011	2	3.7	9
10.9966	0.00086	2.29	35.68	0.865365	30.5122	-84.5236	5.25224e+08	101.467	nan	nan	0.0012	2	29.1	1
6.43438	0.00121	0.3	0.59	0.584944	nan	nan	3.69874e+06	169.338	nan	nan	0.0026	2	3.3	9
4.41701	0.00131	1.46	7.02	1.05719	30.0981	-83.4719	3.60848e+07	190.758	nan	nan	0.00197	2	6.1	2
