B	D	Depth	Discharge	H	Latitude	Longitude	Q	Rp	SedQ	SedQ_err	Slope	Type	Width	WidthControl
10.0614	0.0269	1.55	67.7	0.453346	40.6292	-76.125	182127	17750.3	nan	nan	0.001	1	34.4	2
12.5522	0.0331	1.3	89.1	0.340664	40.5253	-75.8753	142716	24228.1	nan	nan	0.001	1	47.9	2
9.35067	0.0332	1.33	74.4	0.37459	41.8425	-77.2736	118275	24337.9	nan	nan	0.001	1	33.2	2
10.2732	0.0382	0.82	54.9	0.260807	40.6231	-75.4828	61458.1	30038	nan	nan	0.001	1	32.3	3
8.45156	0.0393	0.53	8.5	0.355502	40.1278	-77.5472	8863.46	31344.8	nan	nan	0.004	1	12.6	2
7.84037	0.041	0.26	4.3	0.229044	41.9919	-80.2914	4033.43	33400.4	nan	nan	0.012	1	8.9	2
6.91631	0.0434	0.52	5.4	0.418196	41.2161	-78.5833	4393.75	36375.7	nan	nan	0.007	1	8.6	2
9.33404	0.0446	1.46	79.9	0.399639	nan	nan	60726.1	37894.7	nan	nan	0.002	1	34.1	9
10.699	0.0453	0.95	49.6	0.314677	40.6617	-75.6272	36257.8	38790.4	nan	nan	0.003	1	32.3	2
10.2289	0.0495	1.56	97.7	0.394004	40.6111	-76.9122	57219.9	44308.2	nan	nan	0.002	1	40.5	2
7.50703	0.0506	1.22	49.8	0.403461	41.0617	-76.6806	27607	45793.3	nan	nan	0.001	1	22.7	2
14.189	0.0516	1.12	123	0.257982	40.3233	-77.1692	64930.1	47157.5	nan	nan	0.001	1	61.6	2
6.83408	0.0523	1.72	58.9	0.531883	41.4219	-80.3764	30062.6	48120.4	nan	nan	0.002	1	22.1	2
14.3396	0.0581	1.87	116.9	0.439592	40.5153	-77.4194	45871.2	56343.1	nan	nan	0.001	1	61	2
10.011	0.0584	0.84	20.2	0.398541	41.0592	-76.0939	7825.01	56780	nan	nan	0.006	1	21.1	2
7.41067	0.0614	0.57	8.6	0.380548	39.8983	-78.1325	2939.29	61210.9	nan	nan	0.008	1	11.1	2
9.71902	0.067	0.9	50.7	0.295511	41.5781	-78.6925	13931.1	69773.2	nan	nan	0.003	1	29.6	1
12.7417	0.0672	1.15	91.3	0.298431	39.8203	-79.3217	24900.8	70085.9	nan	nan	0.003	1	49.1	2
9.40615	0.0675	1.55	59.3	0.478017	40.8361	-79.1103	15994.1	70555.7	nan	nan	0.001	1	30.5	2
10.4634	0.0682	0.76	19.4	0.36646	41.7908	-77.015	5099.25	71656.1	nan	nan	0.009	1	21.7	2
7.71321	0.071	0.77	12	0.449937	40.3708	-77.4025	2852.34	76113.9	nan	nan	0.004	1	13.2	1
7.857	0.0735	0.7	7.1	0.504578	41.6311	-78.5769	1547.77	80169.2	nan	nan	0.009	1	10.9	1
8.43852	0.0778	0.78	25.1	0.339281	41.0594	-77.6061	4746.68	87306.4	nan	nan	0.006	1	19.4	2
9.93116	0.0817	0.38	2	0.45468	40.2661	-79.0169	334.688	93952.8	nan	nan	0.031	1	8.3	2
10.3654	0.0819	1	37.9	0.368874	41.4736	-77.2311	6303.69	94298	nan	nan	0.006	1	28.1	2
8.29482	0.0861	0.86	25.2	0.373484	41.7664	-78.7189	3698.78	101644	nan	nan	0.004	1	19.1	2
11.4674	0.0964	0.84	22.2	0.383771	40.8975	-75.5028	2456.55	120418	nan	nan	0.001	1	25.1	2
14.8485	0.0988	0.83	48.7	0.276949	nan	nan	5067.6	124943	nan	nan	0.004	1	44.5	9
13.2209	0.101	0.41	3.3	0.401525	41.5789	-78.2928	324.994	129139	nan	nan	0.014	1	13.5	2
12.8132	0.107	1.26	117.4	0.29569	41.5189	-78.0278	10008.6	140816	nan	nan	0.002	1	54.6	2
9.03213	0.11	0.76	30	0.307821	41.6906	-80.0483	2386.74	146780	nan	nan	0.004	1	22.3	1
7.66118	0.115	0.98	38.5	0.359232	41.3569	-76.535	2740.83	156900	nan	nan	0.01	1	20.9	2
10.6922	0.116	0.32	11.2	0.192219	41.7069	-76.1194	780.259	158951	nan	nan	0.013	1	17.8	2
13.2957	0.119	1.05	79.6	0.287844	41.4758	-77.8261	5202.49	165157	nan	nan	0.002	1	48.5	2
7.05672	0.119	0.79	27.8	0.32987	40.8069	-75.9722	1816.95	165157	nan	nan	0.007	1	16.9	2
11.8086	0.119	0.79	22.1	0.36158	41.3894	-77.6911	1444.41	165157	nan	nan	0.009	1	25.8	2
7.00708	0.121	0.71	21	0.331669	41.2808	-75.8961	1316.5	169338	nan	nan	0.012	1	15	3
13.7152	0.133	1.17	133.9	0.2605	41.4183	-77.0331	6627	195143	nan	nan	0.003	1	61.6	2
10.1874	0.18	1.45	70.5	0.417279	40.8214	-77.5833	1637.47	307245	nan	nan	0.006	1	35.4	2
11.2913	0.023	1.57277	68.1586	0.458765	40.2247	-76.8983	271248	14033.6	nan	nan	0.001	1	38.7096	2
10.0325	0.0562	0.64008	11.1002	0.385865	40.6411	-75.3797	4733.21	53602	nan	nan	0.003	1	16.6421	2
4.1079	0.04	0.24384	0.566337	0.483291	45.2991	-106.508	565.055	32186	nan	nan	0.014	1	2.0726	2
10.0611	0.0243	0.8	46.5	0.271921	39.9617	-75.8017	161288	15240	nan	nan	0.004	1	29.6	2
8.11075	0.0277	1.6	66.3	0.471898	40.2728	-75.6803	165760	18548	nan	nan	0.001	1	27.5	2
9.46189	0.0422	0.7	31.1	0.279465	39.9856	-75.8278	27142.2	34877.5	nan	nan	0.009	1	23.7	2
6.31003	0.0436	0.7	7.4	0.496294	nan	nan	5952.25	36627.4	nan	nan	0.004	1	8.9	9
6.98857	0.0481	1.3	50.2	0.428544	39.8689	-75.4086	31586.9	42441.8	nan	nan	0.002	1	21.2	2
9.49108	0.0894	1.1	40.8	0.393969	40.1514	-75.6017	5451.07	107543	nan	nan	0.004	1	26.5	1
8.72166	0.027	0.844296	27.4673	0.354243	39.4519	-76.9553	73210.4	17849.3	nan	nan	0.004	1	20.787	2
6.80869	0.015	1.02718	20.8695	0.481032	40.9825	-107.382	241796	7391.17	nan	nan	0.001	1	14.539	2
8.2521	0.0366	0.393192	5.72	0.309015	41.4392	-106.971	7126.22	28170.7	nan	nan	0.002	1	10.5	1
8.47089	0.0671	1.02108	36.3588	0.382957	40.5917	-107.32	9953.35	69929.5	nan	nan	0.004	1	22.586	1
11.0244	0.0744	0.957072	92.6527	0.246908	44.2075	-109.555	19592.6	81646.2	nan	nan	0.009	1	42.733	1
8.83047	0.0808	0.64008	13.1957	0.360077	42.7167	-108.643	2270.22	92404.6	nan	nan	0.005	1	15.6972	1
10.4013	0.09	0.408432	5.5501	0.324888	44.0278	-107.08	729.223	108628	nan	nan	0.01	1	13.0759	1
7.51394	0.1046	0.755904	26.363	0.322406	45.0071	-107.615	2378.65	136105	nan	nan	0.01	1	17.617	1
8.93371	0.1149	0.789432	30.0442	0.319554	44.9923	-110.691	2143.51	156695	nan	nan	0.011	1	22.07	2
6.29181	0.1332	0.911352	27.6089	0.381593	41.5853	-106.222	1361.3	195584	nan	nan	0.014	1	15.0266	2
9.22276	0.1396	0.734568	31.0069	0.293618	44.565	-107.712	1359.6	209848	nan	nan	0.013	1	23.0734	2
8.7494	0.15	0.691896	24.8056	0.302381	45.0861	-109.329	908.838	233729	nan	nan	0.014	1	20.02	1
10.4619	0.1586	1.23749	149.711	0.263495	44.4697	-109.43	4771.57	254116	nan	nan	0.012	1	49.1338	1
13.4101	0.0195	1.33	49.8	0.439839	-42.6403	-70.4171	299439	10955.4	nan	nan	0.001	1	40.55	1
22.0741	0.0269	0.57	25.6	0.245987	-42.7251	-70.5023	68869.2	17750.3	nan	nan	0.0027	1	51.15	1
21.9877	0.027	0.77	41.7	0.273382	-45.4258	-70.1666	111146	17849.3	nan	nan	0.0015	1	61.93	2
12.3011	0.0288	1.18	78.4	0.325454	-42.131	-71.1437	177828	19663.7	nan	nan	0.0022	1	44.6	1
18.236	0.0356	1.23	220	0.224528	45.9153	11.9474	293740	27024.1	nan	nan	0.0022	1	99.9	2
10.1421	0.0437	1.01	45.5	0.346299	-42.2137	-71.2508	36389.3	36753.5	nan	nan	0.0053	1	29.58	1
11.0897	0.0482	1.42	350	0.215276	45.9701	11.6878	219087	42574.3	nan	nan	0.0056	1	73.15	2
10.1312	0.0491	0.59	83	0.159058	46.1525	12.1253	49606.6	43772.2	nan	nan	0.006	1	37.58	2
13.9739	0.0503	0.62	57	0.194256	46.3931	12.3564	32071.6	45386.7	nan	nan	0.0054	1	44.6	2
9.20439	0.0521	0.28	4.23	0.248288	-42.8524	-71.4268	2179.77	47844.6	nan	nan	0.0185	1	10.38	1
14.647	0.0601	0.78	49.8	0.257951	-41.9937	-71.5476	17956	59277.3	nan	nan	0.0113	1	44.29	2
17.8007	0.0673	0.86	77.1	0.238787	-42.0118	-71.5673	20949.9	70242.4	nan	nan	0.0044	1	64.11	2
7.63422	0.0151	0.5	3.2	0.495728	39.5144	-77.7772	36464.7	7465.21	nan	nan	0.0047	1	7.7	2
8.19275	0.0198	0.9	22.1	0.411926	38.6067	-78.8036	127907	11209.2	nan	nan	0.0027	1	17.9	2
10.2592	0.0219	1.4	38.2	0.514798	38.6933	-78.6431	171838	13039	nan	nan	0.0022	1	27.9	2
7.27841	0.022	0.9	9.2	0.584872	36.6536	-82.3544	40916.3	13128.4	nan	nan	0.0036	1	11.2	2
8.31073	0.0256	1.1	19.3	0.5315	37.2714	-81.305	58765.6	16479.2	nan	nan	0.0017	1	17.2	2
7.03521	0.028	0.7	29.7	0.284662	nan	nan	72281.5	18850.1	nan	nan	0.0053	1	17.3	9
5.70979	0.0323	0.5	2.6	0.53866	nan	nan	4427.23	23355	nan	nan	0.0035	1	5.3	9
6.99398	0.0324	0.6	5.1	0.493693	38.7622	-78.685	8617.34	23463.6	nan	nan	0.0059	1	8.5	2
8.73111	0.0329	1.6	75	0.449189	39.0811	-78.3297	121966	24008.8	nan	nan	0.0026	1	31.1	2
9.13194	0.0368	1.6	102.8	0.395965	39.5119	-78.0375	126339	28402	nan	nan	0.003	1	36.9	2
8.3213	0.0374	0.7	7.5	0.493637	37.4175	-79.9356	8852.13	29099.4	nan	nan	0.0044	1	11.8	2
7.36509	0.0461	1.2	68.5	0.349332	36.8072	-81.6222	47929.6	39822.4	nan	nan	0.0033	1	25.3	2
6.69904	0.0472	1.6	44.7	0.552498	nan	nan	29486.1	41256.2	nan	nan	0.0011	1	19.4	9
11.0875	0.0489	1.1	78.4	0.303389	39.5531	-78.555	47337.9	43505.1	nan	nan	0.0028	1	40.2	2
6.6876	0.0503	0.8	17.8	0.39926	39.2144	-78.2883	10015.3	45386.7	nan	nan	0.0054	1	13.4	2
10.4602	0.0506	1.5	67.4	0.439502	37.7289	-80.0425	37363.6	45793.3	nan	nan	0.0022	1	35.7	2
10.4036	0.0514	0.9	34.3	0.345508	nan	nan	18283.2	46883.6	nan	nan	0.0073	1	27.1	9
3.92471	0.0547	0.3	1.6	0.392471	39.6908	-78.1272	729.99	51470.4	nan	nan	0.0241	1	3	2
19.525	0.0552	0.9	66.8	0.264646	36.8967	-81.7464	29791.6	52177.7	nan	nan	0.0016	1	66.4	2
11.1492	0.0558	1.7	104.8	0.417482	38.6369	-78.8531	45492.7	53030.8	nan	nan	0.0016	1	45.4	2
8.03302	0.0616	0.5	3.1	0.502064	38.93	-78.5453	1050.93	61510.3	nan	nan	0.0228	1	8	2
